Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-12-09T11:55:09.329Z","On-Demand","auto","No","0","3117","152704","2568","158389","0.06"
"2025-12-09T11:53:01.010Z","On-Demand","auto","No","0","43365","57728","2719","103812","0.08"
"2025-12-09T11:45:21.179Z","On-Demand","auto","No","0","57802","561664","9380","628846","0.27"
"2025-12-09T11:25:11.699Z","On-Demand","auto","No","0","14833","55296","339","70468","0.03"
"2025-12-09T11:21:05.624Z","On-Demand","auto","No","0","1583","123648","2167","127398","0.05"
"2025-12-09T11:13:56.980Z","Included","auto","No","0","116273","8960","3068","128301","0.17"
"2025-12-09T11:09:41.863Z","Included","auto","No","0","352804","142976","745","496525","0.48"
"2025-12-09T11:06:52.851Z","Included","auto","No","0","115819","6784","221","122824","0.15"
"2025-12-09T11:04:09.693Z","Included","auto","No","0","115272","6784","1138","123194","0.15"
"2025-12-09T10:46:25.138Z","Included","auto","No","0","114832","6784","240","121856","0.15"
"2025-12-09T10:43:12.132Z","Included","auto","No","0","114406","6784","1734","122924","0.16"
"2025-12-09T10:38:21.345Z","Included","auto","No","0","118275","595072","294","713641","0.30"
"2025-12-09T10:35:15.998Z","Included","auto","No","0","6375","583936","286","590597","0.16"
"2025-12-09T10:31:09.926Z","Included","auto","No","0","107106","247296","2918","357320","0.21"
"2025-12-09T10:09:17.490Z","Included","auto","No","0","113362","464256","243","577861","0.26"
"2025-12-09T09:57:53.487Z","Included","auto","No","0","329618","360832","1862","692312","0.51"
"2025-12-09T09:34:01.856Z","Included","auto","No","0","210555","129920","1075","341550","0.30"
"2025-12-09T09:15:53.101Z","Included","auto","No","0","427107","1581056","9472","2017635","0.99"
"2025-12-09T09:13:22.841Z","Included","auto","No","0","192118","110208","977","303303","0.27"
"2025-12-09T08:59:32.816Z","Included","auto","No","0","183284","964864","2138","1150286","0.48"
"2025-12-09T08:52:13.488Z","Included","auto","No","0","115578","1812096","3734","1931408","0.62"
"2025-12-09T08:48:32.455Z","Included","auto","No","0","77439","5888","726","84053","0.10"
"2025-12-09T08:40:26.684Z","Included","auto","No","0","66239","999040","4995","1070274","0.36"
"2025-12-09T08:37:53.224Z","Included","auto","No","0","20095","231296","2812","254203","0.10"
"2025-12-09T08:35:37.711Z","Included","auto","No","0","37247","6784","490","44521","0.05"
"2025-12-09T08:25:54.095Z","Included","auto","No","0","73768","13568","846","88182","0.10"
"2025-12-09T08:17:35.876Z","Included","auto","No","0","75102","259968","5666","340736","0.19"
"2025-12-09T08:06:49.718Z","Included","auto","No","0","352674","673024","4291","1029989","0.63"
"2025-12-09T08:03:32.520Z","Included","auto","No","0","101442","6784","1228","109454","0.14"
"2025-12-09T07:57:21.449Z","Included","auto","No","0","38745","560640","1614","600999","0.20"
"2025-12-09T07:51:06.995Z","Included","auto","No","0","155914","1061632","3049","1220595","0.48"
"2025-12-09T07:35:00.472Z","Included","auto","No","0","145975","3083648","6876","3236499","0.99"
"2025-12-09T07:32:42.304Z","Included","auto","No","0","40175","53760","1222","95157","0.07"
"2025-12-09T07:28:17.874Z","Included","auto","No","0","72834","60032","483","133349","0.11"
"2025-12-09T07:26:06.470Z","Included","auto","No","0","72736","12544","1484","86764","0.10"
"2025-12-09T07:22:42.025Z","Included","auto","No","0","6523","234624","431","241578","0.07"
"2025-12-09T07:19:14.288Z","Included","auto","No","0","29472","163072","566","193110","0.08"
"2025-12-09T07:14:55.948Z","Included","auto","No","0","15079","298368","2400","315847","0.11"
"2025-12-09T07:09:45.258Z","Included","auto","No","0","10013","104064","4522","118599","0.07"
"2025-12-09T07:04:12.512Z","Included","auto","No","0","16524","182656","5269","204449","0.10"
"2025-12-09T06:56:44.785Z","Included","auto","No","0","16682","203904","5556","226142","0.11"
"2025-12-09T06:52:25.128Z","Included","auto","No","0","226581","244352","913","471846","0.35"
"2025-12-09T06:34:28.798Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-12-09T06:31:25.601Z","Included","auto","No","7382","53","879200","2992","889627","0.25"
"2025-12-09T06:28:06.641Z","Included","auto","No","101424","0","209952","1559","312935","0.19"
"2025-12-09T06:25:42.932Z","Included","auto","No","89333","0","1319872","6696","1415901","0.48"
"2025-12-09T06:22:11.765Z","Included","auto","No","21233","0","245280","3599","270112","0.11"
"2025-12-09T06:18:16.504Z","Included","auto","No","19393","0","1190208","993","1210594","0.33"
"2025-12-09T06:14:01.324Z","Included","auto","No","113319","0","3590560","3796","3707675","1.06"
"2025-12-09T06:02:42.936Z","Included","auto","No","290086","0","6680064","6946","6977096","2.07"
"2025-12-09T05:57:56.956Z","Included","auto","No","64803","0","586752","3285","654840","0.25"
"2025-12-09T05:52:24.880Z","Included","auto","No","75065","0","718336","3263","796664","0.29"
"2025-12-09T05:46:08.853Z","Included","auto","No","95019","0","3361536","6746","3463301","1.00"
"2025-12-09T05:40:50.960Z","Included","auto","No","17795","0","836096","3938","857829","0.25"
"2025-12-09T05:35:59.858Z","Included","auto","No","36194","0","594432","2642","633268","0.21"
"2025-12-09T05:31:03.758Z","Included","auto","No","91565","0","589056","4067","684688","0.29"
"2025-12-09T05:24:29.338Z","Included","auto","No","21250","0","982272","6873","1010395","0.31"
"2025-12-09T05:21:14.850Z","Included","auto","No","11993","0","341504","4153","357650","0.13"
"2025-12-09T05:19:21.467Z","Included","auto","No","35882","0","294144","3515","333541","0.14"
"2025-12-09T05:15:47.205Z","Included","auto","No","5381","0","697088","2281","704750","0.19"
"2025-12-09T05:11:31.106Z","Included","auto","No","10172","0","1110528","3221","1123921","0.31"
"2025-12-09T05:06:13.880Z","Included","auto","No","108647","0","513536","3028","625211","0.28"
"2025-12-09T04:59:45.704Z","Included","auto","No","11692","0","801792","3965","817449","0.24"
"2025-12-09T04:49:41.286Z","Included","auto","No","77401","0","1102848","4764","1185013","0.40"
"2025-12-09T04:46:53.042Z","Included","auto","No","11118","0","605696","2024","618838","0.18"
"2025-12-09T04:42:57.660Z","Included","auto","No","13779","0","488448","5745","507972","0.17"
"2025-12-09T04:40:01.587Z","Included","auto","No","34710","0","579328","6393","620431","0.23"
"2025-12-09T04:31:18.572Z","Included","auto","No","42381","0","962560","12429","1017370","0.37"
"2025-12-09T04:27:08.763Z","Included","auto","No","80695","0","455936","6487","543118","0.25"
"2025-12-09T04:18:36.581Z","Included","auto","No","26904","0","690432","8496","725832","0.26"
"2025-12-09T04:15:12.121Z","Included","auto","No","5788","0","248832","4695","259315","0.10"
"2025-12-09T04:12:29.428Z","Included","auto","No","16466","0","261120","4138","281724","0.11"
"2025-12-09T04:07:49.382Z","Included","auto","No","15514","0","172032","3057","190603","0.08"
"2025-12-08T22:10:10.349Z","Included","auto","No","8291","0","557824","3700","569815","0.17"
"2025-12-08T21:58:45.505Z","Included","auto","No","13490","0","422400","3280","439170","0.14"
"2025-12-08T21:53:25.017Z","Included","auto","No","14940","0","515840","4024","534804","0.17"
"2025-12-08T21:47:07.666Z","Included","auto","No","31177","0","317696","1981","350854","0.13"
"2025-12-08T21:42:51.795Z","Included","auto","No","29795","0","119808","2131","151734","0.08"
"2025-12-08T21:35:20.991Z","Included","auto","No","3533","0","778752","952","783237","0.20"
"2025-12-08T21:30:39.013Z","Included","auto","No","11374","0","1046272","3549","1061195","0.30"
"2025-12-08T21:28:16.055Z","Included","auto","No","11431","0","268288","1307","281026","0.09"
"2025-12-08T21:22:25.732Z","Included","auto","No","135910","0","712192","4401","852503","0.37"
"2025-12-08T21:13:10.300Z","Included","auto","No","126311","0","379904","2165","508380","0.27"
"2025-12-08T21:06:28.809Z","Included","auto","No","120242","0","573184","1271","694697","0.30"
"2025-12-08T20:46:19.569Z","Included","auto","No","20062","0","717568","4812","742442","0.23"
"2025-12-08T20:24:10.670Z","Included","auto","No","41957","113","1984000","12942","2039012","0.63"
"2025-12-08T20:13:49.600Z","Included","auto","No","45676","60","934144","11110","990990","0.36"
"2025-12-08T20:06:37.367Z","Included","auto","No","71733","0","273152","6025","350910","0.19"
"2025-12-08T20:00:39.233Z","Included","auto","No","11098","0","586752","5720","603570","0.19"
"2025-12-08T19:44:59.142Z","Included","auto","No","16997","0","412416","4031","433444","0.15"
"2025-12-08T19:35:48.086Z","Included","auto","No","28601","0","304640","6332","339573","0.15"
"2025-12-08T19:35:35.837Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-12-08T19:20:38.905Z","Included","auto","No","9166","0","155136","1115","165417","0.06"
"2025-12-08T19:09:21.918Z","Included","auto","No","14480","0","184320","2325","201125","0.08"
"2025-12-08T17:49:20.807Z","Included","auto","No","43670","0","1151744","8843","1204257","0.40"
"2025-12-08T17:40:33.000Z","Included","auto","No","45172","0","352768","2805","400745","0.16"
"2025-12-08T17:33:14.746Z","Included","auto","No","59050","0","993280","9175","1061505","0.38"
"2025-12-08T17:27:54.349Z","Included","auto","No","36130","0","163840","3265","203235","0.11"
"2025-12-08T17:17:21.064Z","Included","auto","No","68737","0","784736","15143","868616","0.37"
"2025-12-08T17:03:56.471Z","Included","auto","No","92704","0","1543360","6933","1642997","0.54"
"2025-12-08T16:46:04.758Z","Included","auto","No","208804","0","1644704","15711","1869219","0.77"
"2025-12-08T16:23:52.373Z","Included","auto","No","276840","0","2613408","35130","2925378","1.21"
"2025-12-08T16:19:46.731Z","Included","auto","No","31363","0","109760","3171","144294","0.09"
"2025-12-08T16:10:23.081Z","Included","auto","No","47135","0","102368","2411","151914","0.10"
"2025-12-08T15:56:17.072Z","Included","auto","No","104393","57","1449632","15208","1569290","0.58"
"2025-12-08T15:51:11.304Z","Included","auto","No","89742","0","146528","2985","239255","0.17"
"2025-12-08T15:44:54.848Z","Included","auto","No","146994","52","858656","14338","1020040","0.48"
"2025-12-08T15:43:09.517Z","Included","auto","No","38937","0","119808","3470","162215","0.10"
"2025-12-08T15:07:03.692Z","Included","auto","No","0","75475","409984","10925","496384","0.26"
"2025-12-08T14:59:00.828Z","Included","auto","No","0","20578","221056","2774","244408","0.10"
"2025-12-08T14:57:09.955Z","Included","auto","No","0","12765","74112","997","87874","0.04"
"2025-12-08T14:54:06.418Z","Included","auto","No","0","1889","10880","222","12991","0.01"
"2025-12-08T14:53:58.072Z","Included","agent_review","No","113980","106","1737435","8586","1860107","0.36"
"2025-12-08T14:45:29.000Z","Included","auto","No","0","60046","289920","6647","356613","0.19"
"2025-12-08T14:43:38.730Z","Included","auto","No","0","16617","11520","885","29022","0.03"
"2025-12-08T14:05:23.885Z","Included","auto","No","0","25792","537472","11727","574991","0.24"
"2025-12-08T14:04:41.766Z","Included","auto","No","0","7128","6784","215","14127","0.01"
"2025-12-08T13:39:36.633Z","Included","auto","No","0","47981","174080","4461","226522","0.13"
"2025-12-08T13:34:51.045Z","Included","auto","No","0","3190","144000","1759","148949","0.05"
"2025-12-08T13:31:23.799Z","Included","auto","No","0","5002","185088","1380","191470","0.06"
"2025-12-08T13:28:46.474Z","Included","auto","No","0","4194","179584","644","184422","0.05"
"2025-12-08T13:27:13.400Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-12-08T13:22:51.390Z","Included","auto","No","0","3987","174080","603","178670","0.05"
"2025-12-08T13:19:06.035Z","Included","auto","No","0","39907","140032","2778","182717","0.10"
"2025-12-08T13:15:41.051Z","Included","auto","No","0","32981","220800","2249","256030","0.11"
"2025-12-08T13:07:08.120Z","Included","auto","No","0","53298","842112","10778","906188","0.34"
"2025-12-08T12:55:48.350Z","Included","auto","No","0","18134","197120","3189","218443","0.09"
"2025-12-08T12:52:36.313Z","Included","auto","No","0","6990","152192","370","159552","0.05"
"2025-12-08T12:29:38.060Z","Included","auto","No","0","4374","179456","2296","186126","0.06"
"2025-12-08T12:28:29.855Z","Included","auto","No","0","3443","54656","346","58445","0.02"
"2025-12-08T12:26:51.816Z","Included","auto","No","0","7064","73856","347","81267","0.03"
"2025-12-08T12:23:14.280Z","Included","auto","No","0","17665","130176","975","148816","0.06"
"2025-12-08T12:17:31.267Z","Included","auto","No","0","5594","119168","1790","126552","0.05"
"2025-12-08T12:15:57.882Z","Included","auto","No","0","4919","13056","172","18147","0.01"
"2025-12-08T12:15:06.091Z","Included","auto","No","0","10775","6784","311","17870","0.02"
"2025-12-08T12:13:39.051Z","Included","auto","No","0","6347","91136","790","98273","0.04"
"2025-12-08T12:04:51.607Z","Included","auto","No","0","14953","623744","5023","643720","0.20"
"2025-12-08T12:01:16.011Z","Included","auto","No","0","2178","87680","707","90565","0.03"
"2025-12-08T11:55:04.325Z","Included","auto","No","0","18114","39808","229","58151","0.03"
"2025-12-08T11:48:48.670Z","Included","auto","No","0","42090","248576","5021","295687","0.14"
"2025-12-08T11:44:20.816Z","Included","auto","No","0","11990","469760","2528","484278","0.15"
"2025-12-08T11:20:08.763Z","Included","auto","No","0","70325","757248","2580","830153","0.29"
"2025-12-08T11:17:49.787Z","Included","auto","No","0","65102","78464","238","143804","0.10"
"2025-12-08T11:08:14.888Z","Included","auto","No","0","2610","106240","261","109111","0.03"
"2025-12-08T11:02:27.280Z","Included","auto","No","0","29827","1108864","3616","1142307","0.34"
"2025-12-08T10:39:18.020Z","Included","auto","No","0","123793","758272","4267","886332","0.37"
"2025-12-08T10:35:21.752Z","Included","agent_review","No","32034","70","1240811","6043","1278958","0.22"
"2025-12-08T10:31:07.767Z","Included","agent_review","No","122753","79","1238117","13631","1374580","0.35"
"2025-12-08T10:27:24.084Z","Included","auto","No","0","25720","1389056","2600","1417376","0.40"
"2025-12-08T10:23:15.390Z","Included","auto","No","0","145489","317568","247","463304","0.26"
"2025-12-08T10:11:51.189Z","Included","auto","No","0","280009","2026112","24683","2330804","1.00"
"2025-12-08T10:08:55.431Z","Included","auto","No","0","37659","47360","882","85901","0.06"
"2025-12-08T09:58:54.493Z","Included","auto","No","0","118429","1007104","12821","1138354","0.48"
"2025-12-08T09:57:45.601Z","Included","auto","No","0","13168","26624","1054","40846","0.03"
"2025-12-08T09:16:48.524Z","Included","auto","No","0","22689","258048","7373","288110","0.14"
"2025-12-08T09:12:31.598Z","Included","auto","No","0","15027","38144","1134","54305","0.04"
"2025-12-08T08:35:23.432Z","Included","agent_review","No","136256","89","1326951","4130","1467426","0.35"
"2025-12-08T08:27:55.019Z","Included","auto","No","0","11306","145792","1667","158765","0.06"
"2025-12-08T08:21:17.825Z","Included","auto","No","0","9443","81024","309","90776","0.03"
"2025-12-08T08:11:37.034Z","Included","auto","No","0","2224","34432","1032","37688","0.02"
"2025-12-08T08:07:24.772Z","Included","auto","No","0","1086","34432","201","35719","0.01"
